model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model03,0.1,28,73.8,6740.0,179.0
model03,0.7,5,24.0,2326.0,303.0
model03,2.0,22,61.8,5506.0,819.0
model03,0.7,18,51.8,4739.0,399.0
model03,0.4,9,34.2,3260.0,253.0
model03,0.3,9,33.5,3205.0,218.0
model03,1.8,13,42.0,3889.0,635.0
model03,2.0,21,61.8,5203.0,820.0
model03,1.2,32,84.1,6499.0,763.0
model03,0.2,5,22.6,2245.0,155.0
model03,1.0,22,61.7,5553.0,555.0
model03,0.3,29,74.2,6857.0,311.0
model03,0.0,21,62.9,5191.0,60.0
model03,1.5,9,31.6,3053.0,536.0
model03,1.9,29,70.6,6487.0,868.0
model03,1.9,9,31.8,3063.0,571.0
model03,0.2,3,22.7,2247.0,152.0
model03,0.8,23,63.9,5825.0,479.0
model03,0.3,7,33.5,3161.0,215.0
model03,1.3,24,63.4,5830.0,679.0
model03,0.9,22,62.1,5598.0,508.0
model03,2.0,3,24.6,2396.0,544.0
model03,0.8,17,53.7,4894.0,432.0
model03,0.8,28,80.1,7397.0,556.0
model03,1.5,26,76.0,4568.0,860.0
model03,0.7,12,41.9,3824.0,359.0
model03,1.7,27,72.1,6686.0,845.0
model03,1.4,34,89.4,7777.0,893.0
model03,0.3,1,24.0,2374.0,188.0
model03,0.0,12,41.7,3939.0,53.0
model03,0.3,31,83.0,6726.0,333.0
model03,0.8,18,53.7,4959.0,433.0
model03,0.9,17,51.3,4635.0,461.0
model03,1.7,2,26.7,231.0,508.0
model03,1.0,17,51.1,4720.0,525.0
model03,0.9,2,25.6,2533.0,352.0
model03,0.2,34,83.6,7122.0,272.0
model03,1.7,13,40.6,3827.0,544.0
model03,0.5,12,42.3,3960.0,302.0
model03,0.4,20,52.0,4845.0,302.0
model03,1.4,1,25.0,2531.0,442.0
model03,1.0,11,43.6,3752.0,458.0
model03,0.9,10,34.7,3300.0,389.0
model03,1.7,11,40.6,3396.0,571.0
model03,2.0,24,61.5,5645.0,822.0
model03,0.1,27,73.8,6474.0,179.0
model03,1.5,21,59.7,4952.0,730.0
model03,1.5,25,60.0,5645.0,732.0
model03,1.6,22,64.7,5855.0,780.0
model03,0.6,19,51.1,4695.0,367.0
