model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model04,2.0,20,51.6,4790.0,797.0
model02,1.5,15,40.9,3815.0,594.0
model03,0.1,28,73.8,6740.0,179.0
model04,0.4,24,63.5,6043.0,341.0
model02,1.7,7,34.1,3252.0,553.0
model02,0.3,6,33.2,3114.0,215.0
model02,2.0,4,24.6,2461.0,538.0
model02,1.8,11,42.0,3703.0,667.0
model03,0.7,5,24.0,2326.0,303.0
model02,0.4,34,86.7,7999.0,386.0
model02,2.0,25,62.0,5736.0,833.0
model01,1.8,13,41.9,3930.0,672.0
model02,0.7,11,42.2,3563.0,359.0
model02,1.3,3,24.7,2524.0,429.0
model03,2.0,22,61.8,5506.0,819.0
model03,0.7,18,51.8,4739.0,399.0
model02,2.0,8,31.1,3012.0,586.0
model01,0.1,11,42.0,3732.0,140.0
model02,0.1,27,74.1,6699.0,182.0
model02,0.4,16,53.0,4674.0,297.0
model01,0.2,12,44.9,4060.0,205.0
model01,0.5,31,87.6,6979.0,482.0
model04,1.7,4,26.5,2643.0,530.0
model04,1.2,9,30.7,2886.0,445.0
model02,0.1,5,23.2,2297.0,113.0
model04,0.7,25,63.4,5860.0,457.0
model04,0.3,28,75.0,6787.0,325.0
model04,1.7,29,71.8,6836.0,872.0
model03,0.4,9,34.2,3260.0,253.0
model04,2.0,33,82.5,7866.0,1042.0
model04,0.4,19,51.8,4819.0,300.0
model02,0.1,13,43.2,3993.0,138.0
model04,0.1,2,23.0,2295.0,111.0
model04,1.5,7,31.4,2964.0,551.0
model02,0.3,1,24.1,2437.0,193.0
model02,0.3,32,85.1,7061.0,338.0
model03,0.3,9,33.5,3205.0,218.0
model03,1.8,13,42.0,3889.0,635.0
model02,1.6,33,73.6,5529.0,739.0
model01,1.4,35,87.2,7363.0,940.0
model03,2.0,21,61.8,5203.0,820.0
model02,0.6,4,26.2,2575.0,285.0
model03,1.2,32,84.1,6499.0,763.0
model01,1.0,31,92.4,6214.0,757.0
model04,1.5,26,76.2,4875.0,909.0
model01,0.8,26,74.8,6733.0,557.0
model01,1.9,29,71.3,6640.0,915.0
model04,0.7,33,84.9,7406.0,639.0
model01,1.5,21,60.6,5085.0,769.0
